2023-11-26 17:15:25,826 seg INFO: Using 2 GPUs
2023-11-26 17:15:25,827 seg INFO: Namespace(aux=True, aux_weight=0.4, backbone='resnet18', batch_size=16, crop_size=[512, 512], data='/public/home/qiusm/code/noise_distill/clean/VOCAug/', dataset='voc', device='cuda', distributed=True, ignore_label=-1, local_rank=0, log_dir='logs', log_iter=10, lr=0.001, max_iterations=40000, model='deeplabv3', momentum=0.9, no_cuda=False, num_gpus=2, pretrained='None', pretrained_base='pretrained/resnet18-imagenet.pth', resume='checkpoints_tea/deeplabv3_resnet18_voc.pth', save_dir='checkpoints', save_epoch=10, save_per_iters=800, skip_val=False, start_epoch=0, val_epoch=1, val_per_iters=800, weight_decay=0.0001, workers=8)
2023-11-26 17:15:37,613 seg INFO: Start training, Total Iterations 40000
2023-11-26 17:15:59,058 seg INFO: Iters: 10/40000 || Lr: 0.001000 || Task Loss: 0.0924 || cons Loss: 0.0392 || Cost Time: 0:00:21 || Estimated Time: 23:11:01
2023-11-26 17:16:11,555 seg INFO: Iters: 20/40000 || Lr: 0.001000 || Task Loss: 0.0739 || cons Loss: 0.0384 || Cost Time: 0:00:33 || Estimated Time: 18:33:20
2023-11-26 17:16:23,922 seg INFO: Iters: 30/40000 || Lr: 0.000999 || Task Loss: 0.1196 || cons Loss: 0.0501 || Cost Time: 0:00:46 || Estimated Time: 16:57:40
2023-11-26 17:16:36,222 seg INFO: Iters: 40/40000 || Lr: 0.000999 || Task Loss: 0.1357 || cons Loss: 0.0544 || Cost Time: 0:00:58 || Estimated Time: 16:06:51
2023-11-26 17:16:48,544 seg INFO: Iters: 50/40000 || Lr: 0.000999 || Task Loss: 0.1177 || cons Loss: 0.0512 || Cost Time: 0:01:10 || Estimated Time: 15:38:05
2023-11-26 17:17:00,223 seg INFO: Iters: 60/40000 || Lr: 0.000999 || Task Loss: 0.1078 || cons Loss: 0.0472 || Cost Time: 0:01:22 || Estimated Time: 15:10:40
2023-11-26 17:17:11,886 seg INFO: Iters: 70/40000 || Lr: 0.000998 || Task Loss: 0.1189 || cons Loss: 0.0496 || Cost Time: 0:01:34 || Estimated Time: 14:51:13
2023-11-26 17:17:23,750 seg INFO: Iters: 80/40000 || Lr: 0.000998 || Task Loss: 0.0701 || cons Loss: 0.0474 || Cost Time: 0:01:46 || Estimated Time: 14:38:49
2023-11-26 17:17:35,321 seg INFO: Iters: 90/40000 || Lr: 0.000998 || Task Loss: 0.0782 || cons Loss: 0.0473 || Cost Time: 0:01:57 || Estimated Time: 14:27:54
2023-11-26 17:17:46,853 seg INFO: Iters: 100/40000 || Lr: 0.000998 || Task Loss: 0.1160 || cons Loss: 0.0484 || Cost Time: 0:02:09 || Estimated Time: 14:16:24
2023-11-26 17:17:58,375 seg INFO: Iters: 110/40000 || Lr: 0.000998 || Task Loss: 0.1280 || cons Loss: 0.0503 || Cost Time: 0:02:20 || Estimated Time: 14:09:12
2023-11-26 17:18:09,769 seg INFO: Iters: 120/40000 || Lr: 0.000997 || Task Loss: 0.1240 || cons Loss: 0.0477 || Cost Time: 0:02:32 || Estimated Time: 14:00:15
2023-11-26 17:18:21,419 seg INFO: Iters: 130/40000 || Lr: 0.000997 || Task Loss: 0.0834 || cons Loss: 0.0472 || Cost Time: 0:02:43 || Estimated Time: 13:54:17
2023-11-26 17:18:32,387 seg INFO: Iters: 140/40000 || Lr: 0.000997 || Task Loss: 0.1042 || cons Loss: 0.0417 || Cost Time: 0:02:54 || Estimated Time: 13:47:26
2023-11-26 17:18:43,610 seg INFO: Iters: 150/40000 || Lr: 0.000997 || Task Loss: 0.1331 || cons Loss: 0.0531 || Cost Time: 0:03:05 || Estimated Time: 13:41:12
2023-11-26 17:18:54,649 seg INFO: Iters: 160/40000 || Lr: 0.000996 || Task Loss: 0.0818 || cons Loss: 0.0475 || Cost Time: 0:03:17 || Estimated Time: 13:35:18
2023-11-26 17:19:05,892 seg INFO: Iters: 170/40000 || Lr: 0.000996 || Task Loss: 0.0983 || cons Loss: 0.0448 || Cost Time: 0:03:28 || Estimated Time: 13:32:02
2023-11-26 17:19:17,798 seg INFO: Iters: 180/40000 || Lr: 0.000996 || Task Loss: 0.0774 || cons Loss: 0.0427 || Cost Time: 0:03:40 || Estimated Time: 13:30:46
2023-11-26 17:19:29,444 seg INFO: Iters: 190/40000 || Lr: 0.000996 || Task Loss: 0.1356 || cons Loss: 0.0475 || Cost Time: 0:03:51 || Estimated Time: 13:27:48
2023-11-26 17:19:41,597 seg INFO: Iters: 200/40000 || Lr: 0.000996 || Task Loss: 0.1038 || cons Loss: 0.0543 || Cost Time: 0:04:03 || Estimated Time: 13:28:17
2023-11-26 17:19:52,665 seg INFO: Iters: 210/40000 || Lr: 0.000995 || Task Loss: 0.1081 || cons Loss: 0.0448 || Cost Time: 0:04:15 || Estimated Time: 13:24:36
2023-11-26 17:20:04,099 seg INFO: Iters: 220/40000 || Lr: 0.000995 || Task Loss: 0.1155 || cons Loss: 0.0564 || Cost Time: 0:04:26 || Estimated Time: 13:22:12
2023-11-26 17:20:15,259 seg INFO: Iters: 230/40000 || Lr: 0.000995 || Task Loss: 0.0851 || cons Loss: 0.0401 || Cost Time: 0:04:37 || Estimated Time: 13:19:16
2023-11-26 17:20:25,900 seg INFO: Iters: 240/40000 || Lr: 0.000995 || Task Loss: 0.1274 || cons Loss: 0.0525 || Cost Time: 0:04:48 || Estimated Time: 13:14:37
2023-11-26 17:20:37,344 seg INFO: Iters: 250/40000 || Lr: 0.000994 || Task Loss: 0.0953 || cons Loss: 0.0492 || Cost Time: 0:04:59 || Estimated Time: 13:13:00
2023-11-26 17:20:48,357 seg INFO: Iters: 260/40000 || Lr: 0.000994 || Task Loss: 0.1263 || cons Loss: 0.0511 || Cost Time: 0:05:10 || Estimated Time: 13:10:24
2023-11-26 17:20:59,416 seg INFO: Iters: 270/40000 || Lr: 0.000994 || Task Loss: 0.1269 || cons Loss: 0.0521 || Cost Time: 0:05:21 || Estimated Time: 13:07:53
2023-11-26 17:21:10,266 seg INFO: Iters: 280/40000 || Lr: 0.000994 || Task Loss: 0.1371 || cons Loss: 0.0464 || Cost Time: 0:05:32 || Estimated Time: 13:05:47
2023-11-26 17:21:21,064 seg INFO: Iters: 290/40000 || Lr: 0.000993 || Task Loss: 0.1347 || cons Loss: 0.0458 || Cost Time: 0:05:43 || Estimated Time: 13:02:44
2023-11-26 17:21:32,030 seg INFO: Iters: 300/40000 || Lr: 0.000993 || Task Loss: 0.0689 || cons Loss: 0.0433 || Cost Time: 0:05:54 || Estimated Time: 13:00:30
2023-11-26 17:21:43,118 seg INFO: Iters: 310/40000 || Lr: 0.000993 || Task Loss: 0.1339 || cons Loss: 0.0381 || Cost Time: 0:06:05 || Estimated Time: 12:59:18
